match_id,round_id,tick,killer_steamid,killer_name,victim_steamid,victim_name,weapon,headshot,x,y,z,assist,assist_player_name
match001,7,41323,76561198870364933,Dr_Risto,76561199127458988,Valerius,AK-47,false,-2562.256,25.663,436.853,true,Baron26
match001,8,44158,76561199127458988,Valerius,76561198988987546,Baron26,P90,false,-1734.296,-1886.480,100.031,false,
match001,8,44583,76561199643239709,Pimiento Picante,76561198175180459,Kolle257,AK-47,true,-1214.025,-220.525,105.022,false,
match001,8,45486,76561199127458988,Valerius,76561198870364933,Dr_Risto,AK-47,true,-937.072,-466.406,100.031,false,
match001,8,45618,76561199028151244,KurtKnusper,76561198812311227,anonymeTito,MP7,false,-916.818,-480.807,100.031,true,Kolle257
match001,8,45783,76561199766385308,Tokugawa,76561198059502594,TheDidacte,M4A1,false,-464.300,-318.482,28.172,false,
match001,8,46047,76561199643239709,Pimiento Picante,76561199272285495,NedsTrex | FRUKTPEEK!,AK-47,false,-1357.993,-245.566,117.393,false,
match001,8,46117,76561199643239709,Pimiento Picante,76561199766385308,Tokugawa,AK-47,true,-1045.850,9.931,103.531,false,
match001,8,46254,76561199643239709,Pimiento Picante,76561199127458988,Valerius,AK-47,false,-964.970,217.415,100.031,true,Dr_Risto
match001,8,46450,76561199643239709,Pimiento Picante,76561199028151244,KurtKnusper,AK-47,true,-1156.444,-99.347,103.531,true,anonymeTito
match001,9,49536,76561198175180459,Kolle257,76561198988987546,Baron26,Nova,true,-947.704,-987.623,20.161,false,
match001,9,50180,76561198870364933,Dr_Risto,76561199766385308,Tokugawa,AK-47,true,-2708.262,-1128.217,438.112,false,
match001,9,50320,76561199643239709,Pimiento Picante,76561198175180459,Kolle257,AK-47,false,-1627.130,-823.517,100.031,false,
match001,9,51474,76561199643239709,Pimiento Picante,76561199127458988,Valerius,AK-47,false,-1798.729,955.865,196.233,false,
match001,9,52819,76561198870364933,Dr_Risto,76561199028151244,KurtKnusper,AK-47,true,-3598.452,-314.326,521.667,false,
match001,9,53983,76561199272285495,NedsTrex | FRUKTPEEK!,76561199643239709,Pimiento Picante,M4A1,false,-1786.896,1156.161,329.665,false,
match001,10,57887,76561198059502594,TheDidacte,76561199766385308,Tokugawa,AK-47,true,-2610.053,-918.120,436.031,false,
